date,date_units,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,weather_code,weather_code_units,temperature_2m_max,temperature_2m_max_units,temperature_2m_min,temperature_2m_min_units,apparent_temperature_max,apparent_temperature_max_units,apparent_temperature_min,apparent_temperature_min_units,sunrise,sunrise_units,sunset,sunset_units,daylight_duration,daylight_duration_units,sunshine_duration,sunshine_duration_units,uv_index_max,uv_index_max_units,uv_index_clear_sky_max,uv_index_clear_sky_max_units,rain_sum,rain_sum_units,showers_sum,showers_sum_units,snowfall_sum,snowfall_sum_units,precipitation_sum,precipitation_sum_units,precipitation_hours,precipitation_hours_units,precipitation_probability_max,precipitation_probability_max_units,wind_speed_10m_max,wind_speed_10m_max_units,wind_gusts_10m_max,wind_gusts_10m_max_units,wind_direction_10m_dominant,wind_direction_10m_dominant_units,shortwave_radiation_sum,shortwave_radiation_sum_units,et0_fao_evapotranspiration,et0_fao_evapotranspiration_units
2025-05-24,iso8601,17.625,95.25,0.19443035125732422,0,GMT,GMT,18.0,95,wmo code,34.2,°C,26.4,°C,41.6,°C,33.1,°C,2025-05-23T23:04,iso8601,2025-05-24T12:07,iso8601,46992.81,s,37821.51,s,8.3,,9.15,,0.0,mm,14.1,mm,0.0,cm,14.1,mm,12.0,h,81,%,12.4,km/h,24.8,km/h,171,°,20.02,MJ/m²,4.38,mm
2025-05-25,iso8601,17.625,95.25,0.19443035125732422,0,GMT,GMT,18.0,96,wmo code,32.4,°C,25.9,°C,38.9,°C,32.0,°C,2025-05-24T23:04,iso8601,2025-05-25T12:07,iso8601,47024.71,s,36154.77,s,6.95,,8.7,,0.0,mm,16.8,mm,0.0,cm,16.8,mm,20.0,h,90,%,10.1,km/h,25.2,km/h,154,°,16.08,MJ/m²,3.47,mm
2025-05-26,iso8601,17.625,95.25,0.19443035125732422,0,GMT,GMT,18.0,80,wmo code,29.4,°C,24.8,°C,34.8,°C,30.4,°C,2025-05-25T23:03,iso8601,2025-05-26T12:08,iso8601,47055.41,s,0.0,s,4.25,,8.7,,27.6,mm,10.1,mm,0.0,cm,37.7,mm,24.0,h,94,%,13.1,km/h,31.3,km/h,173,°,8.2,MJ/m²,1.9,mm
2025-05-20,iso8601,18.0,95.25,0.1844167709350586,0,GMT,GMT,23.0,3,wmo code,34.7,°C,26.1,°C,40.5,°C,32.2,°C,2025-05-19T23:04,iso8601,2025-05-20T12:06,iso8601,46928.31,s,37297.35,s,8.4,,9.1,,0.0,mm,0.0,mm,0.0,cm,0.0,mm,0.0,h,23,%,11.6,km/h,21.2,km/h,185,°,21.71,MJ/m²,5.09,mm
2025-05-21,iso8601,18.0,95.25,0.1844167709350586,0,GMT,GMT,23.0,95,wmo code,35.7,°C,26.2,°C,41.4,°C,32.3,°C,2025-05-20T23:04,iso8601,2025-05-21T12:06,iso8601,46965.41,s,38458.7,s,9.0,,9.1,,0.0,mm,2.2,mm,0.0,cm,2.2,mm,5.0,h,45,%,12.9,km/h,27.0,km/h,191,°,22.33,MJ/m²,5.19,mm
2025-05-22,iso8601,18.0,95.25,0.1844167709350586,0,GMT,GMT,23.0,95,wmo code,35.1,°C,26.2,°C,41.4,°C,32.4,°C,2025-05-21T23:04,iso8601,2025-05-22T12:07,iso8601,47001.45,s,35745.55,s,8.65,,9.15,,0.0,mm,1.5,mm,0.0,cm,1.5,mm,5.0,h,75,%,14.4,km/h,29.9,km/h,204,°,21.36,MJ/m²,5.01,mm
2025-05-23,iso8601,18.0,95.25,0.1844167709350586,0,GMT,GMT,23.0,96,wmo code,34.5,°C,26.5,°C,41.8,°C,32.9,°C,2025-05-22T23:03,iso8601,2025-05-23T12:07,iso8601,47036.41,s,39171.39,s,9.05,,9.1,,0.0,mm,10.2,mm,0.0,cm,10.2,mm,9.0,h,78,%,16.3,km/h,31.0,km/h,188,°,21.54,MJ/m²,4.76,mm
2025-05-24,iso8601,18.0,95.25,0.1844167709350586,0,GMT,GMT,23.0,95,wmo code,35.2,°C,26.4,°C,41.9,°C,33.0,°C,2025-05-23T23:03,iso8601,2025-05-24T12:08,iso8601,47070.23,s,37182.16,s,8.35,,9.15,,0.0,mm,8.7,mm,0.0,cm,8.7,mm,9.0,h,81,%,13.4,km/h,26.3,km/h,172,°,20.61,MJ/m²,4.75,mm
2025-05-25,iso8601,18.0,95.25,0.1844167709350586,0,GMT,GMT,23.0,95,wmo code,32.1,°C,25.7,°C,38.6,°C,31.6,°C,2025-05-24T23:03,iso8601,2025-05-25T12:08,iso8601,47102.86,s,30637.79,s,7.35,,8.7,,0.0,mm,18.7,mm,0.0,cm,18.7,mm,20.0,h,90,%,10.9,km/h,23.8,km/h,164,°,15.03,MJ/m²,3.31,mm
2025-05-26,iso8601,18.0,95.25,0.1844167709350586,0,GMT,GMT,23.0,95,wmo code,28.1,°C,24.9,°C,33.5,°C,30.4,°C,2025-05-25T23:03,iso8601,2025-05-26T12:08,iso8601,47134.25,s,0.0,s,5.05,,8.65,,7.9,mm,8.5,mm,0.0,cm,16.1,mm,21.0,h,89,%,12.7,km/h,29.5,km/h,172,°,7.04,MJ/m²,1.57,mm
